고객의도,고객질문(요청)
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
0,주택구입시 담보대출이 가능할까요?
0,주택자금대출 알아보려구요
0,전세자금 대출 알아보려구요
0,수고하십니다 주택담보대출 좀 알아보려고 하는데요.
0,신용대출 문의해도 될까요
0,주택도시기금대출 문의합니다. 
0,주택담보대출의 부대비용을 알고 싶은데요.
0,주택담보대출 문의를 좀 해도 될까요?
0,주택담보대출에 대해서 알려주실수 있을까요?
0,전원주택을 대출을 받아서 지으려고하는데 될까요?
0,제가 집을 지을 계획인데  대출을 받을수 있을까해서요
0,대출을 받아서 주택을 지으려고 하는데요?
0,주택구입하려하는데 담보대출 할수 있을까요?
0,주택을 담보로 대출을 받을 수 있나요?
0,대출받아서 집지으려는데 대출될까요?
0, 주택담보 대출 부대비용문의하려고 하는데요?
0, 다주택지 주택담보 대출 가능할까요?
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
0,안녕하세요 주택구입시 담보대출이 가능할까요?
0,내 생애 첫 주택대출이 어떤게 있나요?
0,주택대출관련 정보를 얻고싶어요
0,주택대출관련 정보를 얻고싶어요
0,전세대출가능한 주택을 조회할 수 있나요?
0,내 생애 첫 주택대출이 궁금해요
0,주택 담보대출 받았는데요.  금리를 조정 할  수 있습니까?
0,신혼부부 디딤돌대출을 받을수 있는 주택의 가격은 어떻게 되나요?
0,디딤돌 대출을 받을 수 있는 대상주택의  가격은 얼마까지 인가요?
0,보금자리론은 신규주택 구입용도로만 신청해야 하나요?
0,분양권을 보유하고 있으면 주택 보유수에 포함되나요?
0,DTI는 무엇을 말하는 것인가요?
0,DSR이란 무엇을 말하는 것인가요?
0,주택자금대출상환증명서 메뉴에서 대출계좌가 나타나지 않는데 왜 그런가요?
0,주택을 구입하면서 잔금이 부족한데 대출이 가능하나요?
0,타행 주택담보대출을 OO은행 대출로 대환 가능하나요?
0,주택구입자금대출 소득공제 한도는 얼마인가요?
0,주택구입자금대출 2015년 이후 소득공제 한도는 얼마인가요?
0,청약저축과 주택청약종합저축을 담보로 대출이 가능하나요?
0,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
0,전세자금대출을 받고 있는데 다른 주택으로 이사를 가는 경우는 대출을 상환 해야 하나요?
0,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
0,타행 주택담보대출을 당행은행 대출로 대환 가능하나요?
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
