대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A4073,전세자금대출금리,1,신혼부부 전세자금 대출 최저금리가 얼마죠?,"신혼부부, 전세자금, 대출, 최저금리","전세자금,금리"
A4074,신용대출조건,1,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?,"신용대출, 나이, 살, 이상","나이,한도"
A4078,대출문의,1,대출문의 좀 하고 싶은데요,"대출, 문의","문의,대출"
A4093,대출한도,1,조건없이 신용대출 받을 수 있나요?,"신용, 대출","대출,금융상품"
A4098,학자금대출,1,학자금 대출을 받고 싶은데요,"학자금, 대출","대출,금융상품"
A4109,대출문의,1,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?,신용대출,"신용대출,수량"
A4111,담보대출,1,단독주택을 지으려고 하는데 대출받을 수 있나요?,"단독주택,대출",대출
A4112,대출이율,1,대출이율이 가장 싼 은행은 어디인가요?,"대출,이율,은행","이율,금융기간"
A4115,신용대출문의,1,1억원을 15일간만 신용대출하는게 가능한가요?,신용대출,신용대출
A4127,대출서비스,1,대출금 연말정산 서류를 발급받고 싶은데 방법 좀 알려주세요.,"서류, 발급, 방법","발급,수단"
A4130,대출서비스,1,예금을 담보로 대출 받으면 바로 입금되요?,"예금, 담보, 대출, 입금","담보,입금"
A4131,대출서비스,1,비대면을 통해 전세 대출 신청하려고 몇 가지 문의드립니다.,"비대면, 대출, 신청","대출,접수"
A4138,전세자금대출,1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?","청년,대출,금리","대출,전세자금"
A4143,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,아파트 담보대출 신청 가능,"아파트담보대출신청가능,접수"
A4151,대출서비스,1,대출금 연말정산 서류를 발급받고 싶은데 방법 좀 알려주세요.,"서류, 발급, 방법","발급,수단"
A4154,대출서비스,1,예금을 담보로 대출 받으면 바로 입금되요?,"예금, 담보, 대출, 입금","담보,입금"
A4155,대출서비스,1,비대면을 통해 전세 대출 신청하려고 몇 가지 문의드립니다.,"비대면, 대출, 신청","대출,접수"
A4162,전세자금대출,1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?","청년,대출,금리","대출,전세자금"
A4167,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,아파트 담보대출 신청 가능,"아파트담보대출신청가능,접수"
A4170,수시대출,1,수시대출(마이너스통장) 신청하고 싶은데요?,수시대출,"수시대출,수시대출(마이너스통장)"
A4173,학자금대출,1,학자금대출을 받으려면 어떻게 해야 하나요?,학자금대출,학자금대출
A4176,신용대출,1,신용대출이 가능한지 문의하려고 합니다.                 조건이 어떻게 되나요?,"신용대출, 문의,조건","문의,신용대출"
A4177,주택담보대출,1,주택구입시 담보대출이 가능할까요?,"주택구입,담보대출","담보대출,주택자금"
A4178,대출 ,1,직장인 대출이 가능할까요?,,
A4179,전세자금대출,1,전세자금대출이 될까요?,전세자금대출,전세자금대출
A4187,청약저축대출,1,청약저축을 담보로 대출이 가능한가요?,"청약저욱,담보,대출",담보
A4197,대출,1,마이너스통장을 가입하고 싶은데요.,"마이너스통장,가입","가입,신규개설"
A4203,대출,1,은행에 있는 예금을 담보로 대출이 가능하나요?,"예금, 담보, 대출","담보,대출"
A4206,대출,1,중소기업청년전세대출을 희망하는데 금리가 얼마인가요?,"중소기업청년전세대출, 희망,금리","희망,이자"
A4207,대출,1,대출 원리금을 상환하고 싶은데 어떻게 하나요?,"대출,원리금,상환","원리금,대출원금이자"
A4208,대출,1,저는 외국인인데 대출이 가능한가요?,"외국인,대출,가능","대출,외국인-국적"
A4209,대출,1,담보같은거 없이 제가 신용 대출을 받을 수 있을까요?,"담보,신용, 대출","신용,보증"
A4210,대출,1,신용대출을 받고 싶은데 나이제한이 있나요?,"신용대출, 나이","나이,한도"
A4226,대출,1,대출을 받아서 건물을 짓고 싶은데 가능할까요?,"대출, 건물","건물,건축물"
A4227,대출,1,"아파트 담보대출 받았는데, 혹시 추가대출 가능한가요?","아파트, 담보대출, 추가대출","담보대출,공동주택"
A4228,대출,1,"제가 돈이 급하게 필요한데, 단기로 대출 받을 수 있나요?","돈, 단기, 대출","단기,자금"
A4229,대출,1,"제가 아파트 담보대출을 받았는데 금리가 다른 사람에 비해 너무 높아서 낮추고 싶은데, 가능할까요?","아파트,담보대출, 금리, 가능","담보대출,공동주택"
A4230,대출,1,제가 받은 학자금 대출에 대한 내용을 확인하고 싶은데요.,"학자금대출, 내용,확인",내용
A4231,대출,1,대출에 대해 문의하고 싶은데요?,"대출,문의",문의
